"Person","Country","Industry","age","Net Worth, $B","Rank","Time",
"Jim Pattison","Canada","diversified","85","7.3","184","2014",
"Henry Sy","Philippines","diversified","90","14.2","73","2015",
"Henry Sy & family","Philippines","diversified","89","11.4","97","2014",
"Hinduja Brothers","United Kingdom","diversified","","14.5","69","2015",
"Hinduja Brothers","United Kingdom","diversified","0","10","122","2014",
"Kutayba Alghanim","Kuwait","diversified","68","1.25","1356","2014",
"Kutayba Alghanim","Kuwait","diversified","69","1.1","1712","2015",
"Kwek Leng Beng & family","Singapore","diversified","73","2.4","731","2014",
"Jose Roberto Ermirio de Moraes","Brazil","diversified","56","1.05","1540","2014",
"Jose Ermirio de Moraes Neto","Brazil","diversified","61","1.05","1540","2014",
"John Gokongwei, Jr.","Philippines","diversified","86","3.9","388","2014",
"John Gokongwei, Jr.","Philippines","diversified","87","5.8","254","2015",
"Li Ka-shing","Hong Kong","diversified","86","33.3","17","2015",
"Li Ka-shing","Hong Kong","diversified","85","31","20","2014",
"Liang Xinjun","China","diversified","47","2.1","894","2015",
"Liang Xinjun","China","diversified","46","1.6","1092","2014",
"Lee Shau Kee","Hong Kong","diversified","86","19.6","35","2014",
"Len Blavatnik","United States","diversified","57","20.2","41","2015",
"Len Blavatnik","United States","diversified","56","18.7","39","2014",
"Lu Guanqiu","China","diversified","69","3.5","446","2014",
"Lu Guanqiu","China","diversified","70","5.1","301","2015",
"Lu Zhiqiang","China","diversified","61","3","551","2014",
"Lu Zhiqiang","China","diversified","62","5.9","248","2015",
"Maria Helena Moraes Scripilliti","Brazil","diversified","83","3.1","520","2014",
"Maria Helena Moraes Scripilliti","Brazil","diversified","84","2.5","737","2015",
"Lucio Tan","Philippines","diversified","80","4.4","369","2015",
"Lucio Tan & family","Philippines","diversified","79","6.1","227","2014",
"Madeleine Olsson Ericksson","Sweden","diversified","69","2.5","687","2014",
"Madeleine Olsson Ericksson","Sweden","diversified","70","1.9","1006","2015",
"Neide Helena de Moraes","Brazil","diversified","59","1.05","1540","2014",
"Mustafa Rahmi Koc","Turkey","diversified","84","2.5","737","2015",
"Mustafa Rahmi Koc","Turkey","diversified","83","2.1","828","2014",
"Mustafa Vehbi Koc","Turkey","diversified","54","1.1","1712","2015",
"Mohammed Dewji","Tanzania","diversified","39","1.3","1500","2015",
"Michael Kadoorie","Hong Kong","diversified","73","6.2","230","2015",
"Michael Kadoorie & family","Hong Kong","diversified","72","8.5","153","2014",
"Miloud Chaabi","Morocco","diversified","85","1.9","931","2014",
"Miloud Chaabi","Morocco","diversified","86","1.3","1415","2015",
"Mochtar Riady","Indonesia","diversified","85","2.6","714","2015",
"Mochtar Riady & family","Indonesia","diversified","84","2.5","687","2014",
"Mohamed Mansour","Egypt","diversified","67","4","418","2015",
"Mohamed Mansour","Egypt","diversified","66","3.1","520","2014",
"Mohannad Al-Kharafi","Kuwait","diversified","0","1.3","1284","2014",
"Mohannad Al-Kharafi","Kuwait","diversified","","1.3","1500","2015",
"Murdaya Poo","Indonesia","diversified","73","1.75","1036","2014",
"Murdaya Poo","Indonesia","diversified","74","1.7","1118","2015",
"Chairul Tanjung","Indonesia","diversified","51","4","375","2014",
"Chairul Tanjung","Indonesia","diversified","52","4.3","381","2015",
"Cheng Yu-tung","Hong Kong","diversified","89","14.4","71","2015",
"Cheng Yu-tung","Hong Kong","diversified","88","16.2","54","2014",
"Chen Fashu","China","diversified","53","2.3","764","2014",
"Charles Koch","United States","diversified","79","42.9","6","2015",
"Charles Koch","United States","diversified","78","40","6","2014",
"Binod Chaudhary","Nepal","diversified","59","1.3","1415","2015",
"Binod Chaudhary & family","Nepal","diversified","58","1.1","1465","2014",
"Bassam Alghanim","Kuwait","diversified","63","1.1","1712","2015",
"Bassam Alghanim","Kuwait","diversified","62","1.25","1356","2014",
"Antti Aarnio-Wihuri","Finland","diversified","","1","1741","2015",
"Antonio Ermirio de Moraes","Brazil","diversified","85","3.1","520","2014",
"Antonia Johnson","Sweden","diversified","71","5.3","283","2015",
"Antonia Johnson","Sweden","diversified","70","8.5","153","2014",
"Anil Ambani","India","diversified","55","4","418","2015",
"Anil Ambani","India","diversified","54","5","281","2014",
"Andrew Tan","Philippines","diversified","62","4.8","330","2015",
"Andrew Tan","Philippines","diversified","61","4.7","319","2014",
"Ahmet Nazif Zorlu","Turkey","diversified","70","1.4","1324","2015",
"Ahmet Nazif Zorlu","Turkey","diversified","69","1.2","1372","2014",
"Abdulla bin Ahmad Al Ghurair","United Arab Emirates","diversified","","6.4","220","2015",
"Abdulla bin Ahmad Al Ghurair & family","United Arab Emirates","diversified","0","4.8","305","2014",
"Albert von Thurn und Taxis","Germany","diversified","30","1.6","1092","2014",
"Elaine Marshall & family","United States","diversified","71","8.8","147","2014",
"Ermirio Pereira de Moraes","Brazil","diversified","82","2.5","737","2015",
"Ermirio Pereira de Moraes","Brazil","diversified","81","3.1","520","2014",
"Douglas Hsu","Taiwan","diversified","72","1.4","1386","2015",
"Douglas Hsu & family","Taiwan","diversified","71","1.2","1372","2014",
"David Koch","United States","diversified","73","40","6","2014",
"David Koch","United States","diversified","74","42.9","6","2015",
"Dan Olsson","Sweden","diversified","67","4.3","345","2014",
"Dan Olsson","Sweden","diversified","68","5.1","301","2015",
"Guo Guangchang","China","diversified","47","4.3","345","2014",
"Guo Guangchang","China","diversified","48","5.7","259","2015",
"Harsh Goenka","India","diversified","57","1.3","1415","2015",
"Fawzi Al-Kharafi","Kuwait","diversified","0","1.3","1284","2014",
"Fawzi Al-Kharafi","Kuwait","diversified","","1.3","1500","2015",
"Farhad Moshiri","United Kingdom","diversified","59","2.1","894","2015",
"Fatma Yazici","Turkey","diversified","41","1","1741","2015",
"Fu Kwan","China","diversified","56","1","1565","2014",
"Theodore Rachmat","Indonesia","diversified","70","1.85","973","2014",
"Theodore Rachmat","Indonesia","diversified","71","1.9","1006","2015",
"Thor Bjorgolfsson","Iceland","diversified","47","1.3","1415","2015",
"Vincent Tan","Malaysia","diversified","63","1.2","1533","2015",
"Vincent Tan","Malaysia","diversified","62","1.6","1092","2014",
"Turgay Ciner","Turkey","diversified","59","1.3","1500","2015",
"Wilma Tisch","United States","diversified","86","1.45","1203","2014",
"Wilma Tisch","United States","diversified","87","1.5","1312","2015",
"Ye Cheng","China","diversified","52","1.15","1442","2014",
"Ye Cheng","China","diversified","53","1.4","1324","2015",
"Yasseen Mansour","Egypt","diversified","53","2.3","810","2015",
"Yasseen Mansour","Egypt","diversified","52","1.8","988","2014",
"Youssef Mansour","Egypt","diversified","68","2.3","764","2014",
"Youssef Mansour","Egypt","diversified","69","2.9","628","2015",
"Zhu Yicai","China","diversified","49","1.5","1154","2014",
"Zan Shengda","China","diversified","51","1.6","1190","2015",
"Zhang Hongwei","China","diversified","59","1.7","1046","2014",
"Stefan Olsson","Sweden","diversified","66","2.5","737","2015",
"Stefan Olsson","Sweden","diversified","65","2.5","687","2014",
"Sudhir & Samir Mehta","India","diversified","","3","603","2015",
"Suzan Sabanci Dincer","Turkey","diversified","50","1","1741","2015",
"Syed Mokhtar AlBukhary","Malaysia","diversified","63","2.9","628","2015",
"Syed Mokhtar Al-Bukhary","Malaysia","diversified","62","3.1","520","2014",
"Tahir","Indonesia","diversified","62","1.8","1105","2015",
"Tahir","Indonesia","diversified","61","1.85","973","2014",
"Song Zuowen","China","diversified","66","1.9","931","2014",
"Sukanto Tanoto","Indonesia","diversified","65","1.8","1054","2015",
"Sukanto Tanoto","Indonesia","diversified","64","2.1","828","2014",
"Suna Kirac","Turkey","diversified","73","2.2","847","2015",
"Suna Kirac","Turkey","diversified","72","1.85","973","2014",
"Sun Guangxin","China","diversified","52","4","418","2015",
"Sun Guangxin","China","diversified","51","3.4","466","2014",
"Samuel Yin","Taiwan","diversified","64","3.8","452","2015",
"Samuel Yin","Taiwan","diversified","63","3.3","483","2014",
"Saif Al Ghurair","United Arab Emirates","diversified","","3.4","512","2015",
"Saif Al Ghurair & family","United Arab Emirates","diversified","0","2.8","609","2014",
"Saleh Kamel","Saudi Arabia","diversified","73","2.8","663","2015",
"Saleh Kamel","Saudi Arabia","diversified","72","2.4","731","2014",
"Sanjiv Goenka","India","diversified","54","1.4","1324","2015",
"Semahat Sevim Arsel","Turkey","diversified","85","2.2","796","2014",
"Semahat Sevim Arsel","Turkey","diversified","86","2.6","714","2015",
"Shi Yuzhu","China","diversified","51","3.1","520","2014",
"Serra Sabanci","Turkey","diversified","39","1","1741","2015",
"Shashi & Ravi Ruia","India","diversified","0","4.9","295","2014",
"Shashi & Ravi Ruia","India","diversified","","4.5","360","2015",
"Sevket Sabanci","Turkey","diversified","78","1.1","1712","2015",
"Rajan Raheja","India","diversified","60","2.6","714","2015",
"Raghuvinder Kataria","United Kingdom","diversified","65","1.1","1638","2015",
"Robert Kuok","Malaysia","diversified","91","11.3","110","2015",
"Robert Kuok","Malaysia","diversified","90","11.5","95","2014",
"Ronald McAulay","Hong Kong","diversified","78","2.7","690","2015",
"Dagmar Dolby","United States","Dolby Laboratories","73","3.2","557","2015",
"Dagmar Dolby & family","United States","Dolby Laboratories","72","2.7","642","2014",
"Domenico Dolce","Italy","Dolce & Gabbana","55","1.65","1078","2014",
"Domenico Dolce","Italy","Dolce & Gabbana","56","1.7","1173","2015",
"Stefano Gabbana","Italy","Dolce & Gabbana","52","1.7","1173","2015",
"Stefano Gabbana","Italy","Dolce & Gabbana","51","1.65","1078","2014",
"David Murdock","United States","Dole, real estate","91","3.1","577","2015",
"David Murdock","United States","Dole, real estate","90","2.3","764","2014",
"Idan Ofer","Israel","drilling, shipping","58","5.7","244","2014",
"Idan Ofer","Israel","drilling, shipping","59","4.8","330","2015",
"Drew Houston","United States","Dropbox","31","1.2","1372","2014",
"Drew Houston","United States","Dropbox","31","1.2","1533","2015",
"Liu Baolin","China","drug distribution","60","1.8","988","2014",
"Stewart Rahr","United States","drug distribution","69","2","1000","2015",
"Stewart Rahr","United States","drug distribution","68","1.85","973","2014",
"Brandt Louie","Canada","drug store chain","71","1.8","1054","2015",
"Erwin Franz Mueller","Germany","drug stores","81","2","869","2014",
"Erwin Franz Mueller","Germany","drug stores","82","2.4","782","2015",
"Guenther Lehmann","Germany","drug stores","0","1.8","988","2014",
"Guenther Lehmann","Germany","drug stores","","2.5","781","2015",
"Dirk Rossmann","Germany","drugstore chain","68","2.9","628","2015",
"Dirk Rossmann","Germany","drugstore chain","67","2.8","609","2014",
"Stefano Pessina","Italy","drugstores","73","12.1","99","2015",
"Stefano Pessina","Italy","drugstores","72","10.4","113","2014",
"Vichai Srivaddhanaprabha","Thailand","duty-free","57","2.6","714","2015",
"Vichai Srivaddhanaprabha","Thailand","duty-free","56","1.5","1154","2014",
"Stelios Haji-Ioannou","Cyprus","EasyJet","48","1.7","1118","2015",
"Stelios Haji-Ioannou","Cyprus","EasyJet","47","3.1","520","2014",
"Polys Haji-Ioannou","Cyprus","EasyJet","55","1.8","988","2014",
"Polys Haji-Ioannou","Cyprus","EasyJet","56","1.3","1415","2015",
"Clelia Haji-Ioannou","Cyprus","EasyJet","47","1.2","1533","2015",
"Meg Whitman","United States","Ebay","58","2","949","2015",
"Meg Whitman","United States","Ebay","57","2","869","2014",
"Jeffrey Skoll","United States","Ebay","50","3.9","435","2015",
"Jeffrey Skoll","United States","Ebay","49","3.8","396","2014",
"Pierre Omidyar","United States","Ebay","47","8","168","2015",
"Pierre Omidyar","United States","Ebay","46","8.2","162","2014",
"Wang Xing","China","e-commerce","","1.4","1324","2015",
"Hong Xiaobo","China","e-commerce","43","1.3","1500","2015",
"Jack Ma","China","e-commerce","50","22.7","33","2015",
"Jack Ma","China","e-commerce","49","10","122","2014",
"Joseph Tsai","Canada","e-commerce","50","3.7","408","2014",
"Joseph Tsai","Canada","e-commerce","51","5.9","248","2015",
"Liu Qiangdong","China","e-commerce","39","2.7","642","2014",
"Liu Qiangdong","China","e-commerce","40","7.4","179","2015",
"Bertil Hult","Sweden","education","74","5","309","2015",
"Bertil Hult","Sweden","education","73","4","375","2014",
"Chang Pyung-Soon","South Korea","education","63","1","1565","2014",
"Carlos Martins","Brazil","education","57","1","1565","2014",
"Yu Minhong & family","China","education","52","1.2","1372","2014",
"Peter Sperling","United States","education","54","1.3","1284","2014",
"Peter Sperling","United States","education","55","1.3","1415","2015",
"Ranjan Pai","India","education","41","1.4","1210","2014",
"Ranjan Pai","India","education","42","1.7","1118","2015",
"Sunny Varkey","India","education","57","2","949","2015",
"Sunny Varkey","India","education","56","1.8","988","2014",
"Soichiro Fukutake","Japan","education","68","1.25","1356","2014",
"Soichiro Fukutake","Japan","education","69","1.1","1638","2015",
"Chang Pyung-Soon","South Korea","educational products & services","64","1.2","1533","2015",
"Nan Cunhui","China","electric equipment","50","1.2","1372","2014",
"Huang Li","China","electric equipment","50","1.7","1046","2014",
"Bent Jensen","Denmark","electric linear systems","62","1","1565","2014",
"Vinod Gupta","India","electrical equipment","69","1.2","1533","2015",
"Chu Jinfu","China","electrical power equipment","57","1.1","1712","2015",
"Nan Cunhui","China","electrical power equipment","51","1.5","1250","2015",
"Vincent Viola","United States","electronic trading","59","1.7","1118","2015",
"Venugopal Dhoot","India","electronics","62","1.6","1092","2014",
"Venugopal Dhoot","India","electronics","63","1.6","1190","2015",
"Terry Gou","Taiwan","electronics","64","6.1","240","2015",
"Terry Gou","Taiwan","electronics","63","5.4","263","2014",
"Pan Zhengmin","China","electronics","45","3.5","497","2015",
"Pan Zhengmin & family","China","electronics","44","2.6","663","2014",
"Lu Yonghua","China","electronics","51","1","1741","2015",
"Lin Xiucheng","China","electronics","59","1.8","1054","2015",
"Lin Xiucheng & family","China","electronics","58","1.7","1046","2014",
"Jiang Bin","China","electronics","47","3.7","408","2014",
"Jason Chang","Singapore","electronics","70","3.2","557","2015",
"Jason Chang","Singapore","electronics","69","2.6","663","2014",
"Koo Bon-Neung","South Korea","electronics","65","1.3","1415","2015",
"Bruce Cheng","Taiwan","electronics","78","1.3","1284","2014",
"Bruce Cheng","Taiwan","electronics","79","1.6","1226","2015",
"Allan Wong","Hong Kong","electronics","64","1.3","1284","2014",
"Allan Wong","Hong Kong","electronics","65","1.6","1190","2015",
"Fu Liquan & family","China","electronics","46","3.3","483","2014",
"Sun Shangchuan & wife","China","electronics components","51","1.4","1386","2015",
"Wang Laichun","China","electronics components","47","1.3","1415","2015",
"Wang Laichun","China","electronics components","46","1.05","1540","2014",
"Wang Laisheng","China","electronics components","49","1.05","1540","2014",
"Wang Laisheng","China","electronics components","50","1.3","1415","2015",
"Robert Miller","Canada","electronics components","69","2.5","737","2015",
"Erich Kellerhals","Germany","electronics retailer","76","3.4","512","2015",
"Erich Kellerhals","Germany","electronics retailer","75","4","375","2014",
"Koo Bon-Moo","South Korea","electronics/chemicals/household products","70","1.7","1173","2015",
"Lee Kun-Hee","South Korea","electronics/insurance","73","11.3","110","2015",
"Jay Y. Lee","South Korea","electronics/tourism","46","7.2","185","2015",
"Ilkka Herlin","Finland","elevators, escalators","56","1.2","1533","2015",
"Ilkka Herlin","Finland","elevators, escalators","55","1.1","1465","2014",
"Ilona Herlin","Finland","elevators, escalators","49","1.1","1465","2014",
"Ilona Herlin","Finland","elevators, escalators","50","1.1","1638","2015",
"Niklas Herlin","Finland","elevators, escalators","51","1.2","1605","2015",
"Niklas Herlin","Finland","elevators, escalators","50","1.1","1465","2014",
"Antti Herlin","Finland","elevators, escalators","58","3.6","481","2015",
"Antti Herlin","Finland","elevators, escalators","57","3.3","483","2014",
"Walter Frey","Switzerland","Emil Frey Group","71","1.5","1250","2015",
"Walter Frey","Switzerland","Emil Frey Group","70","1.3","1284","2014",
"Philippe Foriel-Destezet","France","employment agency","79","2.7","690","2015",
"Philippe Foriel-Destezet","France","employment agency","78","2.8","609","2014",
"Somphote Ahunai","Thailand","energy","47","1.4","1386","2015",
"Wang Yusuo & family","China","energy","50","3","551","2014",
"Billy Kan","Hong Kong","energy","63","1.3","1415","2015",
"Russ Weiner","United States","energy drinks","45","2.1","894","2015",
"Rodney Sacks","United States","energy drinks","65","1.5","1250","2015",
"William Macaulay","United States","energy investments","69","1.3","1415","2015",
"William Macaulay","United States","energy investments","68","1.2","1372","2014",
"Ian Wood","United Kingdom","energy services","72","1.7","1118","2015",
"Ian Wood & family","United Kingdom","energy services","71","1.9","931","2014",
"Americo Amorim","Portugal","energy, investments","79","5.3","267","2014",
"Americo Amorim","Portugal","energy, investments","80","4.4","369","2015",
"Ahmet Calik","Turkey","energy, media, banking","57","1.4","1324","2015",
"Ahmet Calik","Turkey","energy, media, banking","56","1.1","1465","2014",
"Robert McNair","United States","energy, sports","77","2","869","2014",
"Robert McNair","United States","energy, sports","78","2.4","782","2015",
"Wolfgang Leitner","Austria","engineering","61","1.6","1190","2015",
"Wolfgang Leitner","Austria","engineering","60","1.9","931","2014",
"Anu Aga","India","engineering","72","1.5","1312","2015",
"Baba Kalyani","India","engineering","65","1.3","1284","2014",
"Baba Kalyani","India","engineering","66","2.6","714","2015",
"Bhadresh Shah","India","engineering","63","1","1741","2015",
"Otto Happel","Germany","engineering","67","2.7","690","2015",
"Otto Happel","Germany","engineering","66","3.3","483","2014",
"Riley Bechtel","United States","engineering, construction","62","3.9","435","2015",
"Riley Bechtel","United States","engineering, construction","61","3.9","388","2014",
"Stephen Bechtel, Jr.","United States","engineering, construction","88","3.9","388","2014",
"Stephen Bechtel, Jr.","United States","engineering, construction","89","3.9","435","2015",
"Jack Taylor","United States","Enterprise Rent-A-Car","92","12.5","92","2015",
"Jack Taylor & family","United States","Enterprise Rent-A-Car","91","12.8","82","2014",
"Wang Wenjing","China","enterprise software","50","2.9","628","2015",
"Oleg Boyko","Russia","entertaiment, retail, real estate","50","1.3","1415","2015",
"Oleg Boyko","Russia","entertaiment, retail, real estate","49","1.35","1270","2014",
"Jia Yueting","China","entertainment","41","2.3","764","2014",
"Alan Rydge","Australia","entertainment","62","1.2","1533","2015",
"Alan Rydge","Australia","entertainment","61","1.05","1540","2014",
"David Geffen","United States","entertainment","72","6.9","195","2015",
"Fu Meicheng & family","China","entertainment","56","1.9","931","2014",
"Wang Changtian","China","entertainment","48","2.3","764","2014",
"Xiao Wenge","China","entertainment","48","2.1","894","2015",
"Ronald Lauder","United States","Estee Lauder","71","3.9","435","2015",
"Ronald Lauder","United States","Estee Lauder","70","3.7","408","2014",
"Leonard Lauder","United States","Estee Lauder","80","7.5","177","2014",
"Leonard Lauder","United States","Estee Lauder","81","9.1","137","2015",
"Leonardo Del Vecchio","Italy","eyeglasses","78","19.2","38","2014",
"Leonardo Del Vecchio","Italy","eyeglasses","79","20.4","40","2015",
"Mark Zuckerberg","United States","Facebook","29","28.5","21","2014",
"Mark Zuckerberg","United States","Facebook","30","33.4","16","2015",
"Jeff Rothschild","United States","Facebook","60","1.4","1324","2015",
"Jeff Rothschild","United States","Facebook","59","1.2","1372","2014",
"Jim Breyer","United States","Facebook","52","2","869","2014",
"Eduardo Saverin","Brazil","Facebook","32","4.8","330","2015",
"Eduardo Saverin","Brazil","Facebook","31","4.1","367","2014",
"Dustin Moskovitz","United States","Facebook","30","7.9","170","2015",
"Dustin Moskovitz","United States","Facebook","29","6.8","202","2014",
"Peter Thiel","United States","Facebook","47","2.2","847","2015",
"Peter Thiel","United States","Facebook","46","2.2","796","2014",
"Sean Parker","United States","Facebook","34","2.6","663","2014",
"Sean Parker","United States","Facebook","35","2.5","737","2015",
"Sheryl Sandberg","United States","Facebook","44","1.05","1540","2014",
"Sheryl Sandberg","United States","Facebook","45","1","1741","2015",
"Yuri Milner","Russia","Facebook","53","3.2","557","2015",
"Yuri Milner","Russia","Facebook","52","1.8","988","2014",
"Tory Burch","United States","fashion","48","1","1741","2015",
"Tory Burch","United States","fashion","47","1","1565","2014",
"Pier Luigi Loro Piana","Italy","fashion","63","1.4","1386","2015",
"Pier Luigi Loro Piana","Italy","fashion","62","1.7","1046","2014",
"Giorgio Armani","Italy","fashion","80","7.6","174","2015",
"Giorgio Armani","Italy","fashion","79","9.9","129","2014",
"Christopher Burch","United States","fashion","60","1","1565","2014",
"Jin Sook & Do Won Chang","United States","fashion retail","59","5.7","244","2014",
"Jin Sook & Do Won Chang","United States","fashion retail","60","5.9","248","2015",
"Sandro Veronesi","Italy","fashion retailer","55","2","949","2015",
"Tony Tan Caktiong","Philippines","fast food","62","2.7","690","2015",
"Tony Tan Caktiong & family","Philippines","fast food","61","1.7","1046","2014",
"Jack Cowin","Australia","fast food","72","1.2","1605","2015",
"Albert Berner","Germany","fasteners","79","1.2","1533","2015",
"Reinhold Wuerth","Germany","fasteners","79","6.7","201","2015",
"Reinhold Wuerth","Germany","fasteners","78","7.7","168","2014",
"Frederick Smith","United States","FedEx","69","3.2","506","2014",
"Frederick Smith","United States","FedEx","70","3.9","435","2015",
"Dmitry Rybolovlev","Russia","fertilizer","48","8.5","156","2015",
"Dmitry Rybolovlev","Russia","fertilizer","47","8.8","147","2014",
"Julio Ponce","Chile","fertilizer","69","2.1","894","2015",
"Alexander Rovt","United States","fertilizer, real estate","61","1.1","1465","2014",
"Alexander Rovt","United States","fertilizer, real estate","62","1.2","1533","2015",
"Vyacheslav Kantor","Russia","fertilizer, real estate","60","2","869","2014",
"Vyacheslav Kantor","Russia","fertilizer, real estate","61","2.3","810","2015",
"Wan Lianbu","China","fertilizers","49","1.3","1500","2015",
"Pyotr Kondrashev","Russia","fertilizers","65","1.4","1324","2015",
"Pyotr Kondrashev","Russia","fertilizers","64","1.4","1210","2014",
"Anatoly Lomakin","Russia","fertilizers","62","1.4","1324","2015",
"Anatoly Lomakin","Russia","fertilizers","61","1.4","1210","2014",
"Andrei Guriev","Russia","fertilizers","53","3.4","466","2014",
"Andrei Guriev","Russia","fertilizers","54","3.5","497","2015",
"Julio Ponce","Chile","fertilizers","68","2.3","764","2014",
"Zelimkhan Mutsoev","Russia","fertilizers, real estate","55","1","1741","2015",
"Zelimkhan Mutsoev","Russia","fertilizers, real estate","54","1.3","1284","2014",
"Wang Zhongjun","China","film production","54","1.1","1712","2015",
"William Erbey","United States","finance","64","2.5","687","2014",
"Tsai Cheng-da","Taiwan","finance","","2.1","894","2015",
"Tsai Cheng-da","Taiwan","finance","0","1.8","988","2014",
"Thomas Wu","Taiwan","finance","","1","1741","2015",
"Tsai Wan-Tsai & family","Taiwan","finance","84","7.6","173","2014",
"Tsai Hong-tu","Taiwan","finance","62","2.3","810","2015",
"Tsai Hong-tu","Taiwan","finance","61","2","869","2014",
"Thomas Bailey","United States","finance","78","1.1","1638","2015",
"Thomas Bailey","United States","finance","77","1","1565","2014",
"Richard Tsai","Taiwan","finance","57","3","603","2015",
"Sameer Gehlaut","India","finance","41","1.3","1415","2015",
"T.Y. Tsai","Taiwan","finance","0","2.1","828","2014",
"T.Y. Tsai","Taiwan","finance","","2.1","894","2015",
"Mark Walter","United States","finance","54","1.9","1006","2015",
"Mark Coombs","United Kingdom","finance","54","1.9","1006","2015",
"Mark Coombs","United Kingdom","finance","53","2.2","796","2014",
"Marc Ladreit de Lacharriere","France","finance","74","2.1","894","2015",
"Marc Ladreit de Lacharriere","France","finance","73","1.85","973","2014",
"Leszek Czarnecki","Poland","finance","53","1.3","1500","2015",
"Leszek Czarnecki","Poland","finance","52","2.4","731","2014",
"Michael Steinhardt","United States","finance","74","1.3","1415","2015",
"Michael Steinhardt","United States","finance","73","1.1","1465","2014",
"Antony Ressler","United States","finance","53","1.5","1250","2015",
"Carlos Rodriguez-Pastor","Peru","finance","55","2.1","894","2015",
"Carlos Rodriguez-Pastor","Peru","finance","54","1.8","988","2014",
"David Hains","Australia","finance","84","2","949","2015",
"David Hains","Australia","finance","83","2.1","828","2014",
"David Harding","United Kingdom","finance","52","1.25","1356","2014",
"David Harding","United Kingdom","finance","53","1.5","1250","2015",
"Dermot Desmond","Ireland","finance","63","2","869","2014",
"Dermot Desmond","Ireland","finance","64","1.8","1105","2015",
"Daniel Tsai","Taiwan","finance","58","3","603","2015",
"Gerald Schwartz","Canada","finance","73","1.7","1118","2015",
"Gerald Schwartz","Canada","finance","72","1.75","1036","2014",
"Zhang Changhong","China","finance information service","56","1.45","1203","2014",
"Zhang Changhong","China","finance information service","57","3.5","497","2015",
"Ryoichi Jinnai","Japan","finance, agriculture","87","1.05","1540","2014",
"Husnu Ozyegin","Turkey","finance, diversified","70","2.7","690","2015",
"Husnu Ozyegin","Turkey","finance, diversified","69","3","551","2014",
"Jacqueline Desmarais & family","Canada","financial services","85","5.1","278","2014",
"Ennio Doris","Italy","financial services","74","2.1","894","2015",
"Stephen Lansdown","Guernsey","financial services","61","2.4","731","2014",
"Stephen Lansdown","Guernsey","financial services","62","1.8","1054","2015",
"Pollyanna Chu","Hong Kong","financial services","57","1.6","1226","2015",
"Pollyanna Chu","Hong Kong","financial services","56","1.6","1092","2014",
"Peter Hargreaves","United Kingdom","financial services","67","3.8","396","2014",
"Peter Hargreaves","United Kingdom","financial services","68","2.8","663","2015",
"Robert Mouawad","Lebanon","fine jewelry","70","1.5","1312","2015",
"Chu Lam Yiu","Hong Kong","flavorings","44","1.8","988","2014",
"Chu Lam Yiu","Hong Kong","flavorings","45","2.2","847","2015",
"Pang Kang","China","flavorings","58","2.5","687","2014",
"Jeffrey Lorberbaum","United States","flooring","60","1.8","1054","2015",
"Jeffrey Lorberbaum","United States","flooring","59","1.7","1046","2014",
"Issad Rebrab","Algeria","food","70","3.2","506","2014",
"Issad Rebrab","Algeria","food","71","3.1","577","2015",
"Lee Man Tat","Hong Kong","food","86","1.4","1324","2015",
"Lee Man Tat","Hong Kong","food","85","1.3","1284","2014",
"Kiat Chiaravanont","Thailand","food","","1.4","1386","2015",
"Li Yongjun","China","food","48","1.2","1605","2015",
"Chen Zemin & family","China","food","71","1.05","1540","2014",
"Dhanin Chearavanont","Thailand","food","75","13.6","81","2015",
"Dhanin Chearavanont & family","Thailand","food","74","11.4","97","2014",
"Jude Reyes","United States","food distribution","58","3.6","430","2014",
"Jude Reyes","United States","food distribution","59","4","418","2015",
"J. Christopher Reyes","United States","food distribution","60","3.6","430","2014",
"J. Christopher Reyes","United States","food distribution","61","4","418","2015",
"Murat Ulker","Turkey","food manufacturing","55","4.4","369","2015",
"Murat Ulker","Turkey","food manufacturing","54","3.7","408","2014",
"Ahsen Ozokur","Turkey","food manufacturing","64","1.7","1118","2015",
"Ahsen Ozokur","Turkey","food manufacturing","63","1.55","1143","2014",
"Mustafa Latif Topbas","Turkey","food manufacturing, retail","70","1.4","1386","2015",
"Mustafa Latif Topbas","Turkey","food manufacturing, retail","69","1.3","1284","2014",
"John Tyson","United States","food processing","61","1.3","1500","2015",
"Francisco Ivens de Sa Dias Branco","Brazil","food production","80","3.7","462","2015",
"Francisco Ivens de Sa Dias Branco","Brazil","food production","77","4.1","367","2014",
"Lee Jay-Hyun","South Korea","food products/entertainment","54","2.2","847","2015",
"Thomas Bruch","Germany","food retailing","64","1.4","1324","2015",
"Thomas Bruch","Germany","food retailing","63","2.1","828","2014",
"Pierre Bellon","France","food services","85","4.5","360","2015",
"Pierre Bellon & family","France","food services","84","4.6","325","2014",
"Wang Yong","China","food sweeteners","64","1","1741","2015",
"Wang Yong & family","China","food sweeteners","63","1","1565","2014",
"Wei Ing-Chou","Taiwan","food, beverages","61","1.9","931","2014",
"Wei Ing-Chou","Taiwan","food, beverages","62","2.1","894","2015",
"Wei Yin-Chun","Taiwan","food, beverages","57","1.9","931","2014",
"Wei Yin-Chun","Taiwan","food, beverages","58","2","949","2015",
"Wei Ying-Chiao","Taiwan","food, beverages","60","2","949","2015",
"Wei Ying-Chiao","Taiwan","food, beverages","59","1.9","931","2014",
"Wei Yin-Heng","Taiwan","food, beverages","56","2","949","2015",
